Strategy,Sharpe Ratio,CAGR (%),MDD (%),Total Return (%)
Close>SMA31 AND SMA39,1.704497992590819,78.66671603362374,-36.92388775386139,9384.5327040852
Close>(SMA29+30+31)/3,1.6592966858425637,77.35443688770518,-39.017585171652094,8851.643820486133
Close>SMA38,1.6587423029273816,77.28487175491419,-45.78558534632424,8824.139311987978
Close>SMA39+Slope,1.639392137455032,69.97687956302315,-46.4934525888564,6314.528726354526
Close>SMA37,1.62892173925676,75.38843057749558,-42.9521734977652,8102.181205868318
Close>(SMA28+30+32)/3,1.628514038185799,75.59614894866155,-36.57569436175157,8178.687701544828
Close>SMA29,1.6280001554533294,75.72767322122196,-38.73357604463828,8227.451796134872
Close>(SMA31+SMA39)/2,1.6233028157662144,75.10563208757179,-43.2648448231199,7999.013315987921
Close>SMA36,1.6151187302721122,74.70023828715921,-43.26484482311994,7853.096692888181
Close>WeightedMA(30/31/39),1.6092457834788183,74.50151663628503,-41.9281898796129,7782.410869557996
Close>SMA31+Slope,1.6041559941165635,67.10877933892367,-39.07363109434856,5512.979138308029
Close>WMA39,1.5911687285686764,73.55053906630515,-40.356037225726325,7451.678966937422
Close>SMA32,1.5850672168862066,73.0374868172361,-43.48476561844494,7278.329189581812
Close>SMA28,1.5747856275952585,72.19137946434464,-41.016052880673236,7000.025255596276
Close>SMA33,1.5724519576945557,72.08365434549758,-44.04790916692869,6965.258012058433
Close>SMA34,1.5410715802514676,70.05559319911548,-48.71355973707829,6337.865862707619
Close>(SMA30+WMA30)/2+Slope,1.5302607978448968,64.41189714501323,-44.36201560652183,4840.466113875217
Close>(WMA30+SMA30)/2,1.4980282812990167,67.36803271107621,-41.725381574956714,5581.647934223398
Close>SMA27,1.4969437620456039,67.25995521231947,-46.59500727021158,5552.932726107182
Close>SMA26,1.4521554189077435,64.30180684504778,-52.633647903368676,4814.576642869416
Close>WMA31,1.435057377084429,63.69318496902454,-51.17870334444166,4673.574573070858
Close>EMA39,1.3821659224990868,61.138225053921346,-49.70371777007754,4119.42929512715
Close>EMA31,1.377363953102196,61.3657082552157,-56.72400898399705,4166.379511730704
