Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor,Max Consecutive Losses
01_SMA_Cross_10_30,2622.625234335477,52.384982770399425,-45.86454170534087,1.263464616163737,51.80412371134021,1552,1.3174818929504988,9
02_SMA_Cross_20_60,2607.376976408514,52.27591318572744,-41.45260069753498,1.2769880337606652,52.11360634081902,1514,1.3238184024585173,9
03_SMA_Cross_50_200,746.6501544944908,31.30162961502625,-65.06461868199624,0.8504903480691032,50.576184379001276,1562,1.210133018054586,9
04_Price_Above_SMA20,3873.199680989068,59.907733903414304,-57.62307473720417,1.3875017423170708,48.69933454325469,1653,1.3460871860126078,7
05_Price_Above_SMA50,4624.962700124116,63.479717216484865,-55.40561797461249,1.465603952329127,51.51710781149128,1549,1.3772328815966743,8
06_Bollinger_Upper_Breakout,180.09198386114505,14.031538006644272,-21.558888217613163,0.8138817020525088,38.23529411764706,306,1.563440265971926,4
07_Bollinger_Middle_Cross,3873.199680989068,59.907733903414304,-57.62307473720417,1.3875017423170708,48.69933454325469,1653,1.3460871860126078,7
08_Donchian_20_Breakout,1010.1596471803983,35.91674340514641,-74.12748915887619,0.8325253625728669,51.51191746709356,2811,1.1459935533671695,9
09_Donchian_55_Breakout,1312.9114983560448,40.16016609197948,-74.12748915887619,0.8966958507137534,51.62468054034319,2739,1.1614512515444668,9
10_RSI_Above_50,1938.821698365555,46.86851899423034,-51.90121742449574,1.1504245623528633,47.365269461077844,1670,1.2843825412146401,7
11_RSI_Above_55,3232.5197934925504,56.362855334012195,-40.140143471711404,1.3948281160119451,48.463187991422444,1399,1.3855182245630826,7
12_MACD_Signal_Cross,2559.025545735941,51.92647861569766,-59.94610284489662,1.2198170870822465,48.68673926969891,1561,1.316480113639405,7
13_MACD_Zero_Cross,1727.8605514621718,44.83756757013462,-71.6901985544564,1.0952634330044486,52.16268560361523,1549,1.2769051992785259,9
14_High_20D_Breakout,287.6341460239675,18.854630573540266,-25.004138278367492,0.8488759015842616,34.77508650519031,578,1.4104791046999883,9
15_High_60D_Breakout,179.75173399933354,14.01386875612387,-31.41939862024426,0.7371619027647228,34.10852713178294,387,1.4441506192610125,9
16_SMA_RSI_Combo,3848.3607897154557,59.77993875899694,-51.52571880349963,1.4293404228225095,48.239202657807304,1505,1.3792876662562596,8
17_SMA_MACD_Combo,3685.59876567474,58.92473755176377,-44.95179056386427,1.6384127363066583,49.73488865323436,943,1.6168237502233211,6
18_Bollinger_RSI_Combo,3848.3607897154557,59.77993875899694,-51.52571880349963,1.4293404228225095,48.239202657807304,1505,1.3792876662562596,8
19_Triple_SMA,1452.2095028214442,41.85040487982323,-55.340822887556016,1.1902894705650433,50.94170403587444,1115,1.36365578554499,9
20_Donchian_ATR_Combo,201.86699947372028,15.125151183995445,-15.326144312200295,0.8112511265832062,34.74576271186441,354,1.542325289892135,6
21_RSI_MACD_Combo,2511.4615423305963,51.577282886923804,-47.84584945562266,1.356394642640923,47.25972994440032,1259,1.4072183002007013,7
22_Stochastic_Cross,-75.16159661864232,-16.26901776090325,-89.27161629566842,-0.22821209241667456,34.12179164569703,1987,0.9523640112770431,7
23_CCI_Breakout,3294.0769292888544,56.728139725226015,-27.258544436073258,1.656315684795694,47.9297365119197,797,1.7050070265600914,5
24_SMA_Volume_Combo,119.03529809635107,10.512420662994737,-53.888314478359234,0.4927973324775558,35.891891891891895,925,1.1644167899910867,7
25_EMA_Cross_12_26,1727.8605514621718,44.83756757013462,-71.6901985544564,1.0952634330044486,52.16268560361523,1549,1.2769051992785259,9
26_Price_RSI_Momentum,2431.6607382243656,50.978752608472156,-46.46428338696354,1.3671700152905688,47.93678665496049,1139,1.4303140071617269,8
27_Bollinger_Squeeze,-13.71423268709937,-1.862931211451857,-24.07117025690796,-0.22596590256772647,30.434782608695656,92,0.8000480292785144,3
28_Multiple_Timeframe,1295.3075308150308,39.9363154061364,-29.152950614545837,1.288844502021604,47.38124238733252,821,1.501230196530274,9
29_RSI_Oversold_Bounce,-11.0578639175687,-1.4828409713704582,-15.304893253747643,-0.26099095001094025,29.310344827586203,58,0.7254688176046964,3
30_ATR_Volatility_Breakout,1504.8189649436374,42.45445754010602,-26.483308387406566,1.390549664314229,47.32824427480916,655,1.6322495960153784,4
