Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
0_BENCHMARK_Daily_SMA30,8858.650358837076,77.37212820280881,-38.091226700929006,1.659084335708377,51.16133082234777,1593
1_Weekly_SMA20+Daily_SMA30,3953.04638378483,60.3138730412438,-32.6388510391193,1.5658264279256782,52.21719457013575,1105
2_Weekly_SMA50+Daily_SMA30,4490.7518289801465,62.88025258054712,-32.96168859482385,1.6289644338596359,51.77182368193605,1157
3_Weekly_SMA10+Daily_SMA30,4701.012973748093,63.812838295989984,-33.12875054797143,1.5901204612249338,52.39273927392739,1212
4_Weekly_EMA20+Daily_SMA30,4910.848590257809,64.70866155516386,-36.46170928088143,1.6500381227498222,52.15889464594128,1158
5_Weekly_GoldenCross+Daily_SMA30,1754.5292426417102,45.105273136578596,-41.35501456917206,1.365608001083934,50.83986562150056,893
6_Weekly_MACD+Daily_SMA30,2196.6753960390233,49.11536154374869,-39.60652555079262,1.3354372876467586,50.78776645041705,1079
7_Weekly_SMA200+Daily_SMA30,156.30325014444497,12.748506885337086,-43.382121120915095,0.6908062440767646,48.18304172274562,743
8_Weekly_DualSMA+Daily_SMA30,2225.9768968631865,49.35655939731285,-32.638851039119345,1.4181046260795092,51.720647773279346,988
9_Weekly_Alignment+Daily_SMA30,721.3524370079424,30.794820851363134,-33.16479452441526,1.1181767518091572,50.98039215686274,714
10_Weekly_Donchian+Daily_SMA30,416.6780508255725,23.289535471620404,-37.084920092532485,0.9885122089123881,48.84135472370767,561
11_Weekly_SMA20+Daily_SMA20,2448.2649336025916,51.104631942166165,-29.704207868559912,1.4219463723340866,49.95340167753961,1073
12_Weekly_SMA20+Daily_SMA50,3693.455790781785,58.966750944990956,-39.11478342718635,1.5000309142706598,52.36122618061309,1207
13_Weekly_SMA50+Daily_SMA20,2445.8446008841024,51.08632760989107,-32.60976180813936,1.4137352358854316,48.92334194659776,1161
14_Weekly_SMA50+Daily_SMA50,4491.249486628199,62.882503502109465,-43.36218743788806,1.5935031496889578,52.181069958847736,1215
15_Weekly_EMA20+Daily_EMA30,3031.523480054447,55.12767028112575,-46.032063638374815,1.428584028233677,51.013787510137874,1233
