Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Avg Win (%),Avg Loss (%),Profit Factor
Donchian Channel,6348.600988179134,70.09171804503286,-31.695382785109683,0.8152853992620144,55.26315789473685,38,35.491632402591236,-7.212491969896154,6.078704131055547
Volatility Breakout,454.08574923793276,24.393111836681356,-58.56361854784231,0.8750253295096792,44.600526777875324,1139,2.086817486924251,-1.3537220301131547,1.2410501282895232
Range Breakout,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,inf
Opening Range,307.38257985499143,19.60995543680395,-67.76766096961772,0.6516841982944258,45.7010582010582,1512,2.189469220663994,-1.60009890027497,1.1516669605905894
ATR Breakout,65.28280605319239,6.615702407306023,-7.771710544389207,0.7690294385280266,56.41025641025641,78,2.352181879551727,-1.4781725881550045,2.059299505221701
Turtle Trading,6202.959340689682,69.59707984261647,-19.202978663846977,0.9258828145698625,57.692307692307686,52,21.895265940468516,-4.788375460415314,6.235346637859927
Bollinger Band,6005.888722370961,68.91165189345745,-32.9678728803936,0.7766856527020494,45.45454545454545,44,39.65554459018944,-6.211521179422428,5.32016010312694
High/Low Breakout,8207.57473208552,75.67414306104911,-33.48909126257883,1.1609552350612145,43.15068493150685,146,13.794849776847451,-3.717064309998036,2.816951420907976
Momentum Breakout,559.0372938874193,27.1745779940902,-47.87158641499476,0.908245783577974,50.0,826,2.40743690334411,-1.8550547027892674,1.2977713809324751
Keltner Channel,3813.679205013309,59.6003247819755,-40.17424115740371,0.566165791478059,41.66666666666667,36,59.91268339510517,-7.118787210579919,6.011525922567975
