Strategy,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades,Profit Factor,Group,Type
1. Turtle Trading,3249.6729686691588,56.46523124946301,-31.883483314706808,0.8249002508417868,55.76923076923077,52,4.405836636466475,Original 10,Trend Following
2. RSI Oversold/Overbought,-71.02625691979402,-14.608895910344389,-87.79106061422814,-0.1757777953361696,47.82276546982429,1309,0.95753839718824,Original 10,Oscillator
3. SMA Crossover,1577.3039647810624,43.25901876248312,-58.96054236982104,1.0991037840709752,51.128304319793685,1551,1.269743977635998,Original 10,Trend Following
4. EMA Crossover,1875.7717067019332,46.281524324290025,-71.27151316210974,1.1200198800337404,52.12903225806451,1550,1.2843581724344832,Original 10,Trend Following
5. MACD,3116.689289377101,55.65924922146572,-58.53182022238155,1.280716393293551,48.91165172855313,1562,1.3360795368321694,Original 10,Trend Following
6. Bollinger Bands,-75.52311987992562,-16.425382362028007,-85.46373916535876,-0.2578357419270189,48.41592201462226,1231,0.9360384972159248,Original 10,Channel
7. Mean Reversion,-84.14913596796661,-20.9290019759503,-88.30708305260603,-0.4410100460485939,46.43962848297213,969,0.8789763936759522,Original 10,Mean Reversion
8. Momentum,3532.189907454402,58.08878756842344,-39.32895579097932,1.4856415178895437,49.62279966471081,1193,1.447879680946038,Original 10,Trend Following
9. Dual Momentum,2661.119305190304,52.6579749748888,-33.517687568247126,1.4088690702365798,47.64188649080736,1251,1.419382816446172,Original 10,Trend Following
10. RSI+MACD Combined,3255.7426103172074,56.50134736461749,-45.138965577938535,1.450743925518717,47.49801429706116,1259,1.4452067036271576,Original 10,Trend Following
1. Keltner Channel,1532.5687852300184,42.766147213826834,-57.06627792574908,1.084316549107856,51.32993774759479,1767,1.2485144410883229,New 10,Channel
2. ADX Trend,2098.0862791989675,48.28360564154763,-45.377230556694805,1.2832917643424642,49.409913453973246,1271,1.3735653574984146,New 10,Trend Following
3. Parabolic SAR,1601.1182381157114,43.51673305994923,-63.48869580853007,1.100000219662889,49.04024767801858,1615,1.277165569619663,New 10,Trend Following
4. Ichimoku Cloud,1628.7740476068725,43.812098690213496,-40.964764174616775,1.2338421634447208,50.86655112651647,1154,1.3722145378796882,New 10,Channel
5. Williams %R,753.4521111217991,31.43564306191586,-67.12965978646146,0.7981803008726691,47.70346494762288,2482,1.1520551147494067,New 10,Oscillator
6. Stochastic,-20.662894573375933,-2.907753334125762,-83.67035216710124,0.1323740388349202,34.2224458983392,1987,1.02947316289237,New 10,Oscillator
7. Triple MA,2593.795680377961,52.17831501815076,-38.299990687487735,1.4311000771138145,51.96926032660903,1041,1.4741294528913274,New 10,Trend Following
8. Donchian Channel,2754.880761968654,53.30926957282198,-32.972785551100294,1.4029543108987288,53.14685314685315,1144,1.4238831760447137,New 10,Trend Following
9. SuperTrend,2973.8920431085776,54.76074992135938,-51.0833754950522,1.2816514302836015,52.19885277246655,1569,1.3176959983716432,New 10,Trend Following
10. Golden/Death Cross,759.27950959329,31.549716417934004,-64.99911555349269,0.8548133229338599,50.57618437900128,1562,1.211401007376117,New 10,Trend Following
