Symbol,Portfolio,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Win Rate (%),Total Trades
BTC,Top-1,9864.737078456783,79.79525963045265,-35.704063896816145,1.6930582753044803,51.790281329923275,1564
BTC,Top-3,9117.314203211192,78.01694564266852,-40.027327285596506,1.6972401985900318,50.492182976259414,1727
BTC,Top-5,8467.203946428965,76.36470936528073,-42.61790256976744,1.6694235816196374,50.492182976259414,1727
BTC,Top-10,7287.774972828654,73.06571242604927,-39.885115299338395,1.6527612195967571,50.447479981158736,2123
ETH,Top-1,12904.678662020831,103.3543413166345,-49.695335224887955,1.5972708363681658,50.077399380804955,1292
ETH,Top-3,9910.727774976947,95.74228888638308,-49.48741185794036,1.5543781990676675,49.61884961884962,1443
ETH,Top-5,8974.546753861996,92.9599995859995,-45.59171691787556,1.55190134045526,50.15556938394524,1607
ETH,Top-10,7632.106774584317,88.50794346752984,-44.79623494421976,1.49722777876506,50.123609394313974,1618
ADA,Top-1,24426.42568934721,123.06360065377939,-61.02195620084525,1.5124783707671259,46.2457337883959,1172
ADA,Top-3,23073.978178137913,121.22638000921589,-61.20830200405065,1.5147599525553195,46.82220434432824,1243
ADA,Top-5,21085.710993795885,118.35169899110203,-61.1513720991156,1.5001707475411177,45.19230769230769,1352
ADA,Top-10,18794.018305150214,114.73714292620963,-57.756744897312274,1.5294467437384651,46.5423932651834,1663
XRP,Top-1,2184.8259910379525,57.809149049205864,-55.429852239615954,0.9633635270182735,41.900826446280995,1210
XRP,Top-3,1857.172153574048,54.28735729766581,-47.73656257821481,0.9618155793981837,43.90243902439025,1435
XRP,Top-5,1732.0300423920564,52.80802381008556,-50.86066488283992,0.9487213766178421,43.498978897208985,1469
XRP,Top-10,1351.0791389810759,47.70129425846292,-53.02356607319544,0.9005782086281408,42.82994923857868,1576
