entry_period,exit_period,Total Return (%),CAGR (%),MDD (%),Sharpe Ratio,Calmar Ratio,Win Rate (%),Total Trades,Profit Factor
10,5,4689.144879811661,75.7906203810587,-38.64167378818304,1.326229227099385,1.9613700171610096,39.02439024390244,246,2.611211894590846
10,10,6952.399588453271,85.99574829362876,-35.182263264381476,1.129392722587895,2.4442926723446714,40.32258064516129,186,2.8687546613911636
10,15,12245.927232364933,101.81883323012588,-37.69914023741666,0.9364944124734751,2.7008264005201363,38.70967741935484,155,3.632672048796086
10,20,16251.83552348334,110.25994865070791,-39.128982222952644,0.8406247044019071,2.817858844946665,39.86013986013986,143,4.070523940067856
15,5,5064.894408010859,77.73735789188126,-35.49028040675349,1.3964224212294876,2.190384437680817,42.07920792079208,202,3.2158005655264446
15,10,7284.924350884722,87.24943545319357,-29.679006157196252,1.1520609474830514,2.9397694448079843,41.891891891891895,148,3.398535279844035
15,15,10383.023522032301,97.0624503626194,-38.43070391960783,0.8833924854280852,2.5256485170207075,39.2,125,4.0342357551117995
15,20,14530.237515844681,106.87680604135643,-41.10169554572583,0.8021565659534805,2.600301632871945,39.83739837398374,123,4.4582114772775725
20,5,3668.5952267071643,69.75406531047376,-35.40292373569682,1.350288491263913,1.9702910932223556,45.562130177514796,169,3.4694415582814453
20,10,5645.761890797241,80.52095927966829,-29.8342870052696,1.1200048346008686,2.698940291934778,43.2,125,3.732246742523499
20,15,7900.564954863923,89.44840179563087,-39.2347579034537,0.9123743648927606,2.2798255061427826,41.904761904761905,105,4.281313783905499
20,20,9354.59553456466,94.11777513946518,-41.36877530796488,0.8108388608565544,2.275092130207305,42.45283018867924,106,4.50097585080367
25,5,3185.593846492189,66.39298672301273,-23.412528970264106,1.404577665733781,2.835788769651388,49.01960784313725,153,3.80519546207077
25,10,5397.3075122334085,79.36118422772813,-23.733299817619468,1.1243604378534906,3.34387484410452,46.017699115044245,113,4.330453258589831
25,15,8012.5337441446745,89.83270008844148,-30.507761308227575,0.9153443491276355,2.944585123137655,44.680851063829785,94,5.10254105714664
25,20,10479.138573170247,97.32487030737775,-33.970391640997434,0.8313008693857487,2.864991117438884,42.70833333333333,96,5.4086840175542985
30,5,2465.5358646620944,60.498130855434255,-24.669452520949452,1.3734089991979934,2.452349958073,52.142857142857146,140,3.781993541711333
30,10,4311.409508249203,73.69734016988178,-21.958027542796845,1.0860356809978742,3.356282344861964,48.51485148514851,101,4.589358066624155
30,15,5561.807201160971,80.133938880721,-29.10136240063493,0.8637488605022283,2.75361468571563,44.70588235294118,85,5.175928458725923
30,20,7804.772959894753,89.1159614845178,-31.409567024774187,0.7960287522175478,2.837223493537109,42.5287356321839,87,5.509354278813093
40,5,1997.5401718424714,55.853457080629674,-26.068786400585008,1.3358402113252668,2.142541513914751,50.4,125,3.874820558612767
40,10,3224.940798341124,66.68205745125574,-25.292149330746795,1.073437076649642,2.636472550404906,49.43820224719101,89,4.516373750527262
40,15,4775.932484168417,76.25155675728679,-33.9978363493054,0.8410813749093506,2.242835572647983,46.666666666666664,75,5.480801831094373
40,20,7715.142152637052,88.80177211734532,-32.406105202962586,0.7928466613458398,2.7402790789319234,47.2972972972973,74,6.269979762849696
55,5,2375.407327969482,59.66339810035484,-11.54183312059763,1.4328852942332568,5.169317341270439,57.57575757575758,99,5.952037374783419
55,10,3471.4138655901884,68.42909539185649,-15.715224233143338,1.1136624937719524,4.354318740647673,56.94444444444444,72,6.829053226702516
55,15,4843.014143802353,76.60305552406703,-19.619356931518247,0.8469714255671245,3.9044631172903124,57.89473684210527,57,8.87146338891791
55,20,7543.217013654971,88.19039618246316,-20.56226278078597,0.7882123643356027,4.288944126561356,59.25925925925925,54,10.610350903008746
